0,Craftownia - Krakowski Wielokran,Sw. Wawrzynca 22
1,Multi Qlti Tap Bar,Szewska 21
2,Weźże Krafta,Dolnych Mlynow 10/3
3,Omerta,Kupa 3
4,Pod Wiaduktem,Nad Struga 9
5,Nowy Kraftowy,Plac Nowy 8
6,Sklep Maria,Kobierzynska 61
7,Viva la PINTA,ul. Florianska 13
8,Miejscówka - Craft Beer Pub,Józefińska 4/2
9,Strefa Piwa (Beer Zone),ul. Krowoderska 37
10,Strefa Piwa Pub (Beer Zone),Józefa 6
11,Strefa Piwa Beliny (Beer Zone),al. Beliny Prażmowskiego 49a
12,Regionalne Alkohole,ul. Miodowa 28a
13,Skład piwa i alkoholi,ul. Czarnowiejska 91B
14,House of Beer,ul. sw Tomasza 35
15,Beer Concept,Łużycka 25
16,Rewia Piwa,al. 29 Listopada 42c
17,Huta Piwa,os. Szkolne 35
18,Świat Piwa (World of Beer),Karmelicka 51
19,Kufle i Widelce,Czysta 3/2
20,BroPub by Brokreacja,Stradomska 11
21,Delikatesowo,ul. Brodzińskiego 1
22,Browar Dwie Wieże,Pułkownika Stanisława Dąbka 8
23,Domówka Cafe,ul. Miodowa 28a
24,Artefakt Café,Dajwór 3
25,Baza Pub,Florianska 15
26,T.E.A. Time,Dietla 1
27,Ursa Maior Concept Store & Pub,plac Wolnica 10
28,Bimberek i Piwko,Przemiarki 23
29,Space Craft Pub,ulica Bracka 3-5/7
30,SHAKE Maroza - Ruczaj,Jana Szwai 16/LU1
31,Fog House Pub & Grill,Koletek 11
32,Czarny Kot Kraków,Starowiślna 42
33,BeerGallery - LUXURY,Tomasza 30
34,KORPO,Bora Komorwskiego 9
35,Hala Główna,Dolnych Młynów 10
36,Piwa Regionalne Kraków Wybickiego 8/1,Wybickiego 8/1
37,Browar Lubicz Restauracya Browarna,ul. Lubicz 17J
38,Via Caffe,Pl. Wolnica 9
39,Sklep Piwny,Zielińska
40,Irish Pub "Pod Papugami",ul. Św. Jana 18
41,Poli,Dietla 97
42,BeerGallery - Dominikańska,ul. Dominikańska 3
43,Beer House Pub & Restaurant,Florianska 43
44,Non Iron,Sw. Marka 27
45,Fortuna & Friends Krakow,Ul. Szpitalna 5
46,Pub Zaginiony Świat,Batorego 1
47,Plac Nowy 1,Plac Nowy 1
48,Mostowa ArtCafe,ul. Mostowa 8
49,Lewiatan Kunickiego Kraków,ul. Kunickiego 5
50,Szynk,Podbrzezie 2
51,Auchan Bonarka,Kamienskiego 11
52,Krako Slow Wines,Lipowa 6F
53,Miód i Wino,Sławkowska 32
54,Bull Pub,Mikołajska 2
55,Bistro Cafe Bar Trójkąt,ul. Józefa 30
56,Carrefour Kraków Galeria Krakowska,Pawia 5, CH Galeria Krakowska
57,BeerGallery - Kazimierz,Warszauera 10
58,C.K. Browar,Podwale 6-7
59,Stajnia,Izaaka 7/1
60,Karczma Zadyma sklep firmowy,Szpitalna 36
61,Bierhalle Kraków,Mały Rynek 7
62,Tesco Kapelanka,ul. Kapelanka 54
63,Bar No7,Rynek Główny
64,U Jożina,Św. Tomasza 7
65,Alma Kraków Galeria Kazimierz,Podgórska 34
66,Stara Zajezdnia,Świętego Wawrzyńca 12
67,Alchemia,Estery 5
68,English Football Club,ul. Mikolajska 5
69,Kaufland,ul. Bratysławska 4
70,The Irish Mbassy,ul. Stolarska 3
71,Sarmacja,ul. Św. Tomasza 8
72,Delikatesy Kocyk Miodowa,Miodowa 13
73,Ekwi Alkohole,al. Pokoju 33
74,Football Heaven,Świętego Filipa 7 Street
75,Cafe Czekolada,Bracka 4
76,Coolturka Pub,Estery 1
77,Alkohole Kalwaryjska 24,ul. Kalwaryjska 24
78,Alma Krakow Pilotow,ul. Pilotów 6
79,Alpo Delikatesy (Kraków - Kazimierza Wielkiego),Kazimierza Wielkiego 1
80,BAR BAŁTYK,Brzozowa 8
81,Biedronka Kraków Połomskiego,Połomskiego 14
82,Sklep Piwny Kraków-Teligi,Teligi 30D
83,Spolem Deluxe,Florianska 53
84,Restauracja Nolio,Krakówska 27
85,Klub Społem,św. Tomasza 4
86,Koneser Alkohole,Karmelicka 57
87,Naturalny Sklepik,Krupnicza 8
88,Lidl Kraków Ćwiklińskiej,Ćwiklińskiej 1
89,Market Point,Rynek Fałęcki 1
90,Market Point Kraków Nullo,Pułkownika Francesco Nullo 42
91,U Szwagra,Lea 26
